id;national_id;first_name;last_name;phone_number
1;"99665839472832";Ramiro;Lakin;"65466595222"
2;"70621361104565";Janessa;Gorczany;"30030507741"
3;"14912492759131";Adolf;Veum;"42543269258"
4;"22658133481032";Gregory;Johnson;"92571559964"
5;"23263313107316";Jackson;Langworth;"21485708731"
6;"21816560463174";Amir;Maggio;"40722960150"
7;"70909415478699";Jeramie;Mitchell;"08211704483"
8;"11748828483220";Eldridge;Sawayn;"38045147431"
9;"85677211344351";Reba;Waelchi;"68404826567"
10;"02491507593859";Dave;Parker;"18191105669"
